3,239,243,167,164,238,238,240,165,312,240,167,239,242,239,165,323,164,163,241,164
4,332,244,249,244,247,242,323,245,243,327,318,247,317,320,164,322,249,248,322,169
5,479,329,334,252,330,256,328,256,252,335,329,325,399,329,259,334,255,182,252,332
6,410,414,414,484,339,501,329,406,418,407,484,411,402,343,348,412,346,413,489,404
7,352,496,434,498,422,420,428,429,437,496,494,419,496,495,562,352,503,427,414,346
8,584,522,515,581,503,602,582,583,504,505,506,513,524,589,522,507,586,578,510,517
9,607,522,599,558,596,657,530,588,651,657,537,532,536,543,607,576,665,588,593,542
10,623,689,745,735,699,671,711,704,683,612,677,768,682,687,674,705,677,686,745,769
11,698,861,704,692,781,775,775,844,765,769,838,759,780,797,693,702,845,707,711,863
12,876,792,924,869,868,853,945,796,933,868,862,865,862,847,945,943,855,898,867,819
13,1037,1017,1022,884,892,889,936,941,976,951,877,996,944,956,946,1023,895,979,965,890
14,1077,1046,1055,952,979,1135,1059,1041,1042,970,1062,1024,1001,1047,954,974,1109,1013,967,946